Die Bevölkerung in den kreisfreien Städten und Landkreisen am 31.12.2021 nach Alter und Geschlecht,,,,,,,,,,,Zurück zum Inhalt
AGS / Gebiet,Alter in Jahren,Insgesamt,,,Deutsche,,,Nichtdeutsche,,,
,,insgesamt,männlich,weiblich,insgesamt,männlich,weiblich,insgesamt,männlich,weiblich,
,54 bis unter 55,3408,1685,1723,3054,1504,1550,354,181,173,
,55 bis unter 56,3547,1729,1818,3218,1555,1663,329,174,155,
,56 bis unter 57,3494,1761,1733,3182,1613,1569,312,148,164,
,57 bis unter 58,3453,1694,1759,3147,1538,1609,306,156,150,
,58 bis unter 59,3272,1676,1596,3004,1531,1473,268,145,123,
,59 bis unter 60,3150,1550,1600,2875,1407,1468,275,143,132,
,60 bis unter 61,3104,1497,1607,2860,1392,1468,244,105,139,
,61 bis unter 62,2944,1440,1504,2706,1316,1390,238,124,114,
,62 bis unter 63,2886,1413,1473,2652,1302,1350,234,111,123,
,63 bis unter 64,2812,1408,1404,2615,1312,1303,197,96,101,
,64 bis unter 65,2589,1259,1330,2414,1181,1233,175,78,97,
,65 bis unter 66,2409,1163,1246,2218,1076,1142,191,87,104,
,66 bis unter 67,2335,1072,1263,2155,994,1161,180,78,102,
,67 bis unter 68,2315,1106,1209,2161,1058,1103,154,48,106,
,68 bis unter 69,2114,954,1160,1988,898,1090,126,56,70,
,69 bis unter 70,2198,1014,1184,2046,954,1092,152,60,92,
,70 bis unter 71,2191,1029,1162,2056,966,1090,135,63,72,
,71 bis unter 72,2282,1054,1228,2157,1007,1150,125,47,78,
,72 bis unter 73,2246,1049,1197,2107,993,1114,139,56,83,
,73 bis unter 74,2019,981,1038,1896,924,972,123,57,66,
,74 bis unter 75,1832,873,959,1718,818,900,114,55,59,
,75 bis unter 76,1532,715,817,1435,664,771,97,51,46,
,76 bis unter 77,1352,620,732,1280,582,698,72,38,34,
,77 bis unter 78,1834,844,990,1735,795,940,99,49,50,
,78 bis unter 79,1758,822,936,1680,781,899,78,41,37,
,79 bis unter 80,1556,719,837,1473,675,798,83,44,39,
,80 bis unter 81,1879,835,1044,1804,802,1002,75,33,42,
,81 bis unter 82,1901,849,1052,1838,816,1022,63,33,30,
,82 bis unter 83,1741,769,972,1681,739,942,60,30,30,
,83 bis unter 84,1506,635,871,1458,608,850,48,27,21,
,84 bis unter 85,1319,572,747,1290,552,738,29,20,9,
,85 bis unter 86,1151,487,664,1109,462,647,42,25,17,
,86 bis unter 87,995,398,597,962,382,580,33,16,17,
,87 bis unter 88,839,320,519,815,305,510,24,15,9,
,88 bis unter 89,584,232,352,551,218,333,33,14,19,
,89 bis unter 90,517,182,335,501,174,327,16,8,8,
,90 bis unter 91,437,166,271,424,161,263,13,5,8,
,91 bis unter 92,387,126,261,376,119,257,11,7,4,
,92 bis unter 93,331,114,217,324,112,212,7,2,5,
,93 bis unter 94,255,92,163,251,91,160,4,1,3,
,94 bis unter 95,177,59,118,170,57,113,7,2,5,
,95 oder älter,522,132,390,502,126,376,20,6,14,
,Insgesamt,187229,91919,95310,163494,79807,83687,23735,12112,11623,
440,Unter 1,2883,1499,1384,2478,1290,1188,405,209,196,
Wetteraukreis,  1 bis unter   2,2954,1508,1446,2539,1299,1240,415,209,206,
,  2 bis unter   3,2966,1504,1462,2532,1291,1241,434,213,221,
,  3 bis unter   4,3045,1583,1462,2612,1360,1252,433,223,210,
,  4 bis unter   5,3088,1557,1531,2617,1319,1298,471,238,233,
,  5 bis unter   6,3067,1560,1507,2587,1306,1281,480,254,226,
,  6 bis unter   7,2970,1501,1469,2484,1250,1234,486,251,235,
,  7 bis unter   8,3019,1591,1428,2569,1336,1233,450,255,195,
,  8 bis unter   9,2879,1479,1400,2441,1253,1188,438,226,212,
,  9 bis unter 10,2908,1487,1421,2470,1268,1202,438,219,219,
,10 bis unter 11,2916,1543,1373,2465,1296,1169,451,247,204,
,11 bis unter 12,2861,1432,1429,2431,1218,1213,430,214,216,
,12 bis unter 13,2975,1585,1390,2522,1337,1185,453,248,205,
,13 bis unter 14,2988,1534,1454,2583,1342,1241,405,192,213,
,14 bis unter 15,2974,1526,1448,2559,1298,1261,415,228,187,
,15 bis unter 16,2916,1480,1436,2547,1284,1263,369,196,173,
,16 bis unter 17,3038,1563,1475,2690,1377,1313,348,186,162,
,17 bis unter 18,2967,1510,1457,2630,1336,1294,337,174,163,
,18 bis unter 19,3007,1585,1422,2607,1357,1250,400,228,172,
,19 bis unter 20,2966,1565,1401,2575,1349,1226,391,216,175,
,20 bis unter 21,3098,1722,1376,2661,1464,1197,437,258,179,
,21 bis unter 22,3086,1692,1394,2571,1371,1200,515,321,194,
,22 bis unter 23,3156,1721,1435,2508,1327,1181,648,394,254,
,23 bis unter 24,3109,1654,1455,2445,1260,1185,664,394,270,
,24 bis unter 25,3369,1807,1562,2600,1344,1256,769,463,306,
,25 bis unter 26,3385,1800,1585,2604,1357,1247,781,443,338,
,26 bis unter 27,3243,1761,1482,2390,1266,1124,853,495,358,
,27 bis unter 28,3270,1753,1517,2485,1302,1183,785,451,334,
,28 bis unter 29,3348,1771,1577,2548,1315,1233,800,456,344,
,29 bis unter 30,3456,1786,1670,2641,1353,1288,815,433,382,
,30 bis unter 31,3633,1876,1757,2807,1434,1373,826,442,384,
,31 bis unter 32,3800,1916,1884,2870,1438,1432,930,478,452,
,32 bis unter 33,3824,1988,1836,2898,1482,1416,926,506,420,
,33 bis unter 34,4015,2071,1944,3083,1561,1522,932,510,422,
,34 bis unter 35,3769,1928,1841,2932,1486,1446,837,442,395,
,35 bis unter 36,3865,1942,1923,2995,1474,1521,870,468,402,
,36 bis unter 37,3880,1952,1928,2988,1480,1508,892,472,420,
,37 bis unter 38,3878,1891,1987,3014,1462,1552,864,429,435,
,38 bis unter 39,3752,1852,1900,2917,1429,1488,835,423,412,
,39 bis unter 40,3971,1985,1986,3159,1560,1599,812,425,387,
,40 bis unter 41,4065,1938,2127,3205,1510,1695,860,428,432,
,41 bis unter 42,4115,2016,2099,3258,1599,1659,857,417,440,
,42 bis unter 43,3988,1921,2067,3121,1498,1623,867,423,444,
,43 bis unter 44,3906,1939,1967,3099,1560,1539,807,379,428,
,44 bis unter 45,3878,1892,1986,3079,1480,1599,799,412,387,
,45 bis unter 46,3994,1989,2005,3191,1568,1623,803,421,382,
,46 bis unter 47,3789,1907,1882,2967,1484,1483,822,423,399,
,47 bis unter 48,3860,1927,1933,3051,1516,1535,809,411,398,
,48 bis unter 49,3942,2014,1928,3106,1578,1528,836,436,400,
,49 bis unter 50,4133,2032,2101,3381,1645,1736,752,387,365,
,50 bis unter 51,4367,2149,2218,3691,1823,1868,676,326,350,
,51 bis unter 52,4598,2280,2318,3889,1908,1981,709,372,337,
,52 bis unter 53,5021,2551,2470,4366,2204,2162,655,347,308,
,53 bis unter 54,5270,2649,2621,4660,2350,2310,610,299,311,
,54 bis unter 55,5551,2730,2821,4960,2438,2522,591,292,299,
,55 bis unter 56,5521,2704,2817,4961,2421,2540,560,283,277,
,56 bis unter 57,5504,2730,2774,4939,2443,2496,565,287,278,
,57 bis unter 58,5465,2695,2770,4938,2443,2495,527,252,275,
,58 bis unter 59,5264,2682,2582,4794,2428,2366,470,254,216,
,59 bis unter 60,5151,2569,2582,4726,2348,2378,425,221,204,
,60 bis unter 61,4809,2346,2463,4433,2172,2261,376,174,202,
,61 bis unter 62,4740,2388,2352,4331,2200,2131,409,188,221,
,62 bis unter 63,4506,2173,2333,4161,1998,2163,345,175,170,
,63 bis unter 64,4276,2141,2135,3950,1966,1984,326,175,151,
,64 bis unter 65,4075,1980,2095,3801,1833,1968,274,147,127,
,65 bis unter 66,3911,1924,1987,3606,1774,1832,305,150,155,
,66 bis unter 67,3749,1829,1920,3469,1700,1769,280,129,151,
,67 bis unter 68,3641,1760,1881,3374,1637,1737,267,123,144,
,68 bis unter 69,3478,1701,1777,3227,1592,1635,251,109,142,
,69 bis unter 70,3423,1619,1804,3164,1495,1669,259,124,135,
,70 bis unter 71,3326,1543,1783,3108,1457,1651,218,86,132,
,71 bis unter 72,3394,1666,1728,3192,1582,1610,202,84,118,
,72 bis unter 73,3387,1644,1743,3181,1541,1640,206,103,103,
,73 bis unter 74,2957,1459,1498,2771,1372,1399,186,87,99,
,74 bis unter 75,2840,1341,1499,2651,1253,1398,189,88,101,
,75 bis unter 76,2326,1081,1245,2175,1006,1169,151,75,76,
,76 bis unter 77,1968,863,1105,1800,781,1019,168,82,86,
,77 bis unter 78,2596,1174,1422,2466,1112,1354,130,62,68,
,78 bis unter 79,2513,1184,1329,2375,1120,1255,138,64,74,
,79 bis unter 80,2230,999,1231,2123,935,1188,107,64,43,
,80 bis unter 81,2754,1252,1502,2640,1193,1447,114,59,55,
,81 bis unter 82,2878,1283,1595,2775,1225,1550,103,58,45,
,82 bis unter 83,2586,1074,1512,2482,1027,1455,104,47,57,
,83 bis unter 84,2286,954,1332,2211,914,1297,75,40,35,
,84 bis unter 85,2015,805,1210,1935,761,1174,80,44,36,
,85 bis unter 86,1779,729,1050,1733,712,1021,46,17,29,
,86 bis unter 87,1545,575,970,1506,558,948,39,17,22,
,87 bis unter 88,1222,459,763,1184,438,746,38,21,17,
,88 bis unter 89,884,312,572,853,300,553,31,12,19,
,89 bis unter 90,772,265,507,747,258,489,25,7,18,
,90 bis unter 91,667,213,454,650,206,444,17,7,10,
,91 bis unter 92,603,188,415,586,177,409,17,11,6,
,92 bis unter 93,478,159,319,471,158,313,7,1,6,
,93 bis unter 94,365,107,258,355,101,254,10,6,4,
,94 bis unter 95,263,65,198,256,61,195,7,4,3,
,95 oder älter,743,163,580,720,153,567,23,10,13,
,Insgesamt,311661,154192,157469,267898,131343,136555,43763,22849,20914,
531,Unter 1,2631,1337,1294,2228,1132,1096,403,205,198,
Landkreis Gießen,  1 bis unter   2,2624,1329,1295,2200,1133,1067,424,196,228,
,  2 bis unter   3,2610,1380,1230,2201,1159,1042,409,221,188,
,  3 bis unter   4,2572,1314,1258,2153,1103,1050,419,211,208,
,  4 bis unter   5,2667,1387,1280,2204,1155,1049,463,232,231,
,  5 bis unter   6,2700,1413,1287,2177,1137,1040,523,276,247,
,  6 bis unter   7,2547,1282,1265,1987,980,1007,560,302,258,
,  7 bis unter   8,2377,1217,1160,1957,999,958,420,218,202,
,  8 bis unter   9,2310,1185,1125,1924,977,947,386,208,178,
,  9 bis unter 10,2295,1153,1142,1948,992,956,347,161,186,
,10 bis unter 11,2326,1168,1158,1973,980,993,353,188,165,
,11 bis unter 12,2300,1194,1106,1964,998,966,336,196,140,
,12 bis unter 13,2339,1246,1093,1936,1023,913,403,223,180,
,13 bis unter 14,2410,1211,1199,2056,1016,1040,354,195,159,
,14 bis unter 15,2283,1142,1141,1962,962,1000,321,180,141,
,15 bis unter 16,2323,1157,1166,1993,999,994,330,158,172,
,16 bis unter 17,2356,1279,1077,2026,1088,938,330,191,139,
,17 bis unter 18,2392,1237,1155,2058,1062,996,334,175,159,
,18 bis unter 19,2635,1350,1285,2237,1112,1125,398,238,160,
,19 bis unter 20,3009,1454,1555,2548,1179,1369,461,275,186,
,20 bis unter 21,3500,1683,1817,2999,1395,1604,501,288,213,
,21 bis unter 22,4112,1891,2221,3466,1546,1920,646,345,301,
,22 bis unter 23,4186,1919,2267,3536,1582,1954,650,337,313,
,23 bis unter 24,4812,2325,2487,3859,1799,2060,953,526,427,
,24 bis unter 25,5258,2580,2678,4012,1825,2187,1246,755,491,
,25 bis unter 26,4982,2597,2385,3796,1888,1908,1186,709,477,
,26 bis unter 27,4617,2456,2161,3473,1796,1677,1144,660,484,
,27 bis unter 28,4339,2262,2077,3302,1673,1629,1037,589,448,
,28 bis unter 29,4243,2235,2008,3320,1720,1600,923,515,408,
,29 bis unter 30,4170,2173,1997,3266,1680,1586,904,493,411,
,30 bis unter 31,4160,2149,2011,3278,1699,1579,882,450,432,
,31 bis unter 32,4061,2148,1913,3175,1668,1507,886,480,406,
,32 bis unter 33,4103,2141,1962,3274,1707,1567,829,434,395,
,33 bis unter 34,3979,2093,1886,3198,1665,1533,781,428,353,
,34 bis unter 35,3734,2041,1693,3020,1631,1389,714,410,304,
,35 bis unter 36,3536,1849,1687,2950,1526,1424,586,323,263,
,36 bis unter 37,3417,1786,1631,2748,1408,1340,669,378,291,
,37 bis unter 38,3319,1714,1605,2685,1390,1295,634,324,310,
,38 bis unter 39,3275,1711,1564,2693,1401,1292,582,310,272,
,39 bis unter 40,3223,1684,1539,2717,1419,1298,506,265,241,
,40 bis unter 41,3236,1632,1604,2739,1390,1349,497,242,255,
,41 bis unter 42,3318,1767,1551,2695,1417,1278,623,350,273,
,42 bis unter 43,3102,1551,1551,2516,1224,1292,586,327,259,
,43 bis unter 44,3058,1526,1532,2512,1247,1265,546,279,267,
,44 bis unter 45,2927,1422,1505,2432,1195,1237,495,227,268,
,45 bis unter 46,2956,1473,1483,2454,1242,1212,502,231,271,
,46 bis unter 47,2749,1370,1379,2285,1153,1132,464,217,247,
,47 bis unter 48,2840,1395,1445,2347,1164,1183,493,231,262,
,48 bis unter 49,2908,1421,1487,2432,1179,1253,476,242,234,
,49 bis unter 50,3082,1488,1594,2641,1279,1362,441,209,232,
,50 bis unter 51,3301,1640,1661,2849,1419,1430,452,221,231,
,51 bis unter 52,3503,1733,1770,3030,1483,1547,473,250,223,
,52 bis unter 53,3693,1818,1875,3206,1584,1622,487,234,253,
,53 bis unter 54,3868,1913,1955,3461,1715,1746,407,198,209,
,54 bis unter 55,4125,2021,2104,3736,1820,1916,389,201,188,
,55 bis unter 56,3989,2001,1988,3659,1836,1823,330,165,165,
,56 bis unter 57,4058,2036,2022,3665,1820,1845,393,216,177,
,57 bis unter 58,4250,2069,2181,3907,1916,1991,343,153,190,
,58 bis unter 59,4175,2046,2129,3867,1883,1984,308,163,145,
,59 bis unter 60,4088,2054,2034,3810,1902,1908,278,152,126,
,60 bis unter 61,4056,1994,2062,3791,1855,1936,265,139,126,
,61 bis unter 62,3849,1893,1956,3567,1749,1818,282,144,138,
,62 bis unter 63,3704,1865,1839,3474,1744,1730,230,121,109,
,63 bis unter 64,3538,1718,1820,3329,1617,1712,209,101,108,
,64 bis unter 65,3463,1649,1814,3257,1544,1713,206,105,101,
,65 bis unter 66,3302,1565,1737,3101,1472,1629,201,93,108,
,66 bis unter 67,3053,1470,1583,2870,1383,1487,183,87,96,
,67 bis unter 68,3102,1524,1578,2933,1456,1477,169,68,101,
,68 bis unter 69,2908,1381,1527,2771,1314,1457,137,67,70,
,69 bis unter 70,2785,1341,1444,2646,1301,1345,139,40,99,
,70 bis unter 71,2841,1339,1502,2701,1280,1421,140,59,81,
,71 bis unter 72,2840,1331,1509,2658,1250,1408,182,81,101,
,72 bis unter 73,2701,1274,1427,2580,1225,1355,121,49,72,
,73 bis unter 74,2477,1178,1299,2305,1102,1203,172,76,96,
,74 bis unter 75,2282,1023,1259,2143,957,1186,139,66,73,
,75 bis unter 76,1908,870,1038,1782,811,971,126,59,67,
,76 bis unter 77,1363,639,724,1258,585,673,105,54,51,
,77 bis unter 78,1888,861,1027,1792,825,967,96,36,60,
,78 bis unter 79,1870,897,973,1780,854,926,90,43,47,
,79 bis unter 80,1724,793,931,1616,739,877,108,54,54,
,80 bis unter 81,2102,913,1189,2028,875,1153,74,38,36,
,81 bis unter 82,2224,982,1242,2140,943,1197,84,39,45,
,82 bis unter 83,2046,903,1143,1994,875,1119,52,28,24,
,83 bis unter 84,1724,746,978,1660,713,947,64,33,31,
,84 bis unter 85,1530,632,898,1483,614,869,47,18,29,
,85 bis unter 86,1419,577,842,1379,552,827,40,25,15,
,86 bis unter 87,1180,424,756,1149,408,741,31,16,15,
,87 bis unter 88,1070,369,701,1041,352,689,29,17,12,
,88 bis unter 89,799,295,504,780,290,490,19,5,14,
,89 bis unter 90,663,244,419,636,230,406,27,14,13,
,90 bis unter 91,545,177,368,535,171,364,10,6,4,
,91 bis unter 92,489,172,317,482,168,314,7,4,3,
,92 bis unter 93,371,115,256,368,113,255,3,2,1,
,93 bis unter 94,316,95,221,301,90,211,15,5,10,
,94 bis unter 95,232,64,168,228,63,165,4,1,3,
,95 oder älter,552,131,421,524,121,403,28,10,18,
,Insgesamt,272874,134692,138182,235824,115113,120711,37050,19579,17471,
532,Unter 1,2403,1212,1191,2112,1076,1036,291,136,155,
Lahn-Dill-Kreis,  1 bis unter   2,2361,1193,1168,2069,1048,1021,292,145,147,
,  2 bis unter   3,2285,1204,1081,1968,1024,944,317,180,137,
,  3 bis unter   4,2402,1237,1165,2031,1038,993,371,199,172,
,  4 bis unter   5,2504,1271,1233,2124,1083,1041,380,188,192,
,  5 bis unter   6,2454,1234,1220,2080,1049,1031,374,185,189,
,  6 bis unter   7,2392,1242,1150,2055,1080,975,337,162,175,
,  7 bis unter   8,2373,1206,1167,2007,1019,988,366,187,179,
,  8 bis unter   9,2215,1159,1056,1899,992,907,316,167,149,
,  9 bis unter 10,2230,1159,1071,1937,1006,931,293,153,140,
,10 bis unter 11,2324,1196,1128,2012,1032,980,312,164,148,
,11 bis unter 12,2380,1207,1173,2103,1063,1040,277,144,133,
,12 bis unter 13,2333,1220,1113,2018,1056,962,315,164,151,
,13 bis unter 14,2330,1218,1112,2041,1087,954,289,131,158,
,14 bis unter 15,2372,1239,1133,2080,1076,1004,292,163,129,
,15 bis unter 16,2395,1264,1131,2128,1127,1001,267,137,130,
,16 bis unter 17,2472,1284,1188,2206,1149,1057,266,135,131,
,17 bis unter 18,2380,1230,1150,2138,1098,1040,242,132,110,
,18 bis unter 19,2440,1280,1160,2215,1157,1058,225,123,102,
,19 bis unter 20,2503,1279,1224,2242,1143,1099,261,136,125,
,20 bis unter 21,2455,1295,1160,2188,1143,1045,267,152,115,
,21 bis unter 22,2545,1360,1185,2248,1202,1046,297,158,139,
,22 bis unter 23,2600,1403,1197,2165,1147,1018,435,256,179,
,23 bis unter 24,2702,1446,1256,2132,1133,999,570,313,257,
,24 bis unter 25,2772,1460,1312,2219,1141,1078,553,319,234,
,25 bis unter 26,2699,1414,1285,2197,1139,1058,502,275,227,
,26 bis unter 27,2746,1462,1284,2242,1176,1066,504,286,218,
,27 bis unter 28,2821,1431,1390,2316,1160,1156,505,271,234,
,28 bis unter 29,2841,1458,1383,2312,1159,1153,529,299,230,
,29 bis unter 30,2856,1488,1368,2298,1188,1110,558,300,258,
,30 bis unter 31,2914,1545,1369,2329,1223,1106,585,322,263,
,31 bis unter 32,3128,1663,1465,2510,1334,1176,618,329,289,
,32 bis unter 33,3178,1654,1524,2602,1345,1257,576,309,267,
,33 bis unter 34,3174,1587,1587,2573,1274,1299,601,313,288,
,34 bis unter 35,3091,1628,1463,2532,1313,1219,559,315,244,
,35 bis unter 36,3009,1522,1487,2467,1239,1228,542,283,259,
,36 bis unter 37,2974,1507,1467,2426,1214,1212,548,293,255,
,37 bis unter 38,2955,1489,1466,2419,1212,1207,536,277,259,
,38 bis unter 39,2933,1526,1407,2453,1281,1172,480,245,235,
,39 bis unter 40,3027,1507,1520,2528,1259,1269,499,248,251,
,40 bis unter 41,3097,1525,1572,2542,1261,1281,555,264,291,
,41 bis unter 42,2991,1494,1497,2467,1217,1250,524,277,247,
,42 bis unter 43,2996,1513,1483,2458,1246,1212,538,267,271,
,43 bis unter 44,2953,1506,1447,2419,1228,1191,534,278,256,
,44 bis unter 45,2870,1387,1483,2405,1169,1236,465,218,247,
,45 bis unter 46,2979,1471,1508,2442,1212,1230,537,259,278,
,46 bis unter 47,2815,1371,1444,2326,1130,1196,489,241,248,
,47 bis unter 48,2939,1429,1510,2411,1187,1224,528,242,286,
,48 bis unter 49,2920,1416,1504,2463,1182,1281,457,234,223,
,49 bis unter 50,3247,1578,1669,2786,1358,1428,461,220,241,
,50 bis unter 51,3473,1684,1789,3015,1474,1541,458,210,248,
,51 bis unter 52,3649,1831,1818,3197,1589,1608,452,242,210,
,52 bis unter 53,4023,2017,2006,3552,1771,1781,471,246,225,
,53 bis unter 54,4197,2108,2089,3782,1918,1864,415,190,225,
,54 bis unter 55,4260,2075,2185,3885,1885,2000,375,190,185,
,55 bis unter 56,4334,2154,2180,3929,1967,1962,405,187,218,
,56 bis unter 57,4460,2276,2184,4080,2079,2001,380,197,183,
,57 bis unter 58,4503,2270,2233,4147,2081,2066,356,189,167,
,58 bis unter 59,4381,2181,2200,4037,1999,2038,344,182,162,
,59 bis unter 60,4228,2073,2155,3925,1919,2006,303,154,149,
,60 bis unter 61,4207,2126,2081,3935,1989,1946,272,137,135,
,61 bis unter 62,4041,1988,2053,3723,1835,1888,318,153,165,
,62 bis unter 63,3839,1904,1935,3608,1790,1818,231,114,117,
,63 bis unter 64,3659,1800,1859,3452,1701,1751,207,99,108,
,64 bis unter 65,3527,1745,1782,3328,1655,1673,199,90,109,
,65 bis unter 66,3434,1701,1733,3200,1583,1617,234,118,116,
,66 bis unter 67,3275,1584,1691,3060,1477,1583,215,107,108,
,67 bis unter 68,3127,1500,1627,2937,1411,1526,190,89,101,
,68 bis unter 69,2947,1408,1539,2780,1343,1437,167,65,102,
,69 bis unter 70,3001,1417,1584,2839,1360,1479,162,57,105,
,70 bis unter 71,2876,1341,1535,2730,1283,1447,146,58,88,
,71 bis unter 72,2988,1403,1585,2809,1339,1470,179,64,115,
,72 bis unter 73,2766,1279,1487,2610,1215,1395,156,64,92,
,73 bis unter 74,2602,1244,1358,2449,1184,1265,153,60,93,
,74 bis unter 75,2352,1102,1250,2195,1023,1172,157,79,78,
,75 bis unter 76,1946,905,1041,1822,848,974,124,57,67,
,76 bis unter 77,1569,705,864,1440,641,799,129,64,65,
,77 bis unter 78,2093,955,1138,1986,901,1085,107,54,53,
,78 bis unter 79,1940,913,1027,1843,865,978,97,48,49,
,79 bis unter 80,1966,869,1097,1868,817,1051,98,52,46,
,80 bis unter 81,2318,1050,1268,2242,1004,1238,76,46,30,
,81 bis unter 82,2388,985,1403,2276,926,1350,112,59,53,
,82 bis unter 83,2331,940,1391,2248,892,1356,83,48,35,
,83 bis unter 84,1924,803,1121,1835,767,1068,89,36,53,
,84 bis unter 85,1796,711,1085,1739,680,1059,57,31,26,
,85 bis unter 86,1520,584,936,1470,562,908,50,22,28,
,86 bis unter 87,1337,517,820,1302,494,808,35,23,12,
,87 bis unter 88,1103,383,720,1071,367,704,32,16,16,
,88 bis unter 89,820,290,530,795,278,517,25,12,13,
,89 bis unter 90,673,237,436,652,227,425,21,10,11,
,90 bis unter 91,576,194,382,567,189,378,9,5,4,
,91 bis unter 92,576,173,403,552,164,388,24,9,15,
,92 bis unter 93,381,110,271,375,107,268,6,3,3,
,93 bis unter 94,343,104,239,327,97,230,16,7,9,
,94 bis unter 95,245,67,178,240,66,174,5,1,4,
,95 oder älter,595,112,483,577,106,471,18,6,12,
,Insgesamt,253364,124887,128477,223771,109743,114028,29593,15144,14449,
533,Unter 1,1614,821,793,1409,714,695,205,107,98,
Landkreis Limburg-Weilburg,  1 bis unter   2,1569,788,781,1371,686,685,198,102,96,
,  2 bis unter   3,1491,751,740,1289,651,638,202,100,102,
,  3 bis unter   4,1635,834,801,1389,712,677,246,122,124,
,  4 bis unter   5,1695,841,854,1425,727,698,270,114,156,
,  5 bis unter   6,1593,846,747,1335,699,636,258,147,111,
,  6 bis unter   7,1597,821,776,1343,697,646,254,124,130,
,  7 bis unter   8,1535,783,752,1298,663,635,237,120,117,
,  8 bis unter   9,1551,794,757,1304,661,643,247,133,114,
,  9 bis unter 10,1502,766,736,1282,646,636,220,120,100,
,10 bis unter 11,1550,781,769,1285,645,640,265,136,129,
,11 bis unter 12,1573,762,811,1332,643,689,241,119,122,
,12 bis unter 13,1490,760,730,1280,650,630,210,110,100,
,13 bis unter 14,1728,922,806,1505,797,708,223,125,98,
,14 bis unter 15,1605,836,769,1410,730,680,195,106,89,
,15 bis unter 16,1636,853,783,1422,758,664,214,95,119,
,16 bis unter 17,1684,896,788,1507,791,716,177,105,72,
,17 bis unter 18,1729,895,834,1536,784,752,193,111,82,
,18 bis unter 19,1801,920,881,1592,807,785,209,113,96,
,19 bis unter 20,1732,921,811,1525,810,715,207,111,96,
,20 bis unter 21,1763,913,850,1527,795,732,236,118,118,
,21 bis unter 22,1811,978,833,1554,832,722,257,146,111,
,22 bis unter 23,1808,1013,795,1479,818,661,329,195,134,
,23 bis unter 24,1832,980,852,1473,756,717,359,224,135,
,24 bis unter 25,1898,1041,857,1514,807,707,384,234,150,
,25 bis unter 26,1876,1001,875,1468,758,710,408,243,165,
,26 bis unter 27,1879,1020,859,1460,777,683,419,243,176,
,27 bis unter 28,1842,945,897,1422,718,704,420,227,193,
,28 bis unter 29,1941,1039,902,1535,809,726,406,230,176,
,29 bis unter 30,1995,1038,957,1568,808,760,427,230,197,
,30 bis unter 31,2031,1036,995,1589,790,799,442,246,196,
,31 bis unter 32,2072,1046,1026,1640,831,809,432,215,217,
,32 bis unter 33,2125,1136,989,1679,873,806,446,263,183,
,33 bis unter 34,2091,1077,1014,1662,845,817,429,232,197,
,34 bis unter 35,2160,1111,1049,1729,892,837,431,219,212,
,35 bis unter 36,2076,1071,1005,1674,846,828,402,225,177,
,36 bis unter 37,2067,1039,1028,1625,790,835,442,249,193,
,37 bis unter 38,2059,1101,958,1679,885,794,380,216,164,
,38 bis unter 39,2000,1031,969,1629,830,799,371,201,170,
,39 bis unter 40,2111,1048,1063,1681,836,845,430,212,218,
,40 bis unter 41,2046,1042,1004,1651,831,820,395,211,184,
,41 bis unter 42,2163,1066,1097,1735,849,886,428,217,211,
,42 bis unter 43,1996,1002,994,1606,803,803,390,199,191,
,43 bis unter 44,2059,1031,1028,1679,830,849,380,201,179,
,44 bis unter 45,1988,971,1017,1585,779,806,403,192,211,
,45 bis unter 46,1986,993,993,1610,806,804,376,187,189,
,46 bis unter 47,1972,986,986,1581,783,798,391,203,188,
,47 bis unter 48,1984,1001,983,1626,812,814,358,189,169,
,48 bis unter 49,2010,1003,1007,1660,841,819,350,162,188,
,49 bis unter 50,2179,1077,1102,1823,885,938,356,192,164,
,50 bis unter 51,2376,1177,1199,2015,987,1028,361,190,171,
,51 bis unter 52,2555,1297,1258,2194,1096,1098,361,201,160,
,52 bis unter 53,2818,1382,1436,2478,1222,1256,340,160,180,
,53 bis unter 54,2900,1449,1451,2575,1271,1304,325,178,147,
,54 bis unter 55,2932,1379,1553,2670,1238,1432,262,141,121,
,55 bis unter 56,2977,1485,1492,2692,1332,1360,285,153,132,
,56 bis unter 57,3090,1585,1505,2822,1432,1390,268,153,115,
,57 bis unter 58,3139,1558,1581,2859,1416,1443,280,142,138,
,58 bis unter 59,3054,1496,1558,2819,1380,1439,235,116,119,
,59 bis unter 60,2914,1535,1379,2679,1401,1278,235,134,101,
,60 bis unter 61,2929,1426,1503,2748,1340,1408,181,86,95,
,61 bis unter 62,2811,1445,1366,2610,1339,1271,201,106,95,
,62 bis unter 63,2661,1310,1351,2514,1239,1275,147,71,76,
,63 bis unter 64,2517,1259,1258,2363,1185,1178,154,74,80,
,64 bis unter 65,2385,1161,1224,2253,1098,1155,132,63,69,
,65 bis unter 66,2364,1167,1197,2216,1090,1126,148,77,71,
,66 bis unter 67,2261,1102,1159,2139,1046,1093,122,56,66,
,67 bis unter 68,2238,1064,1174,2122,1009,1113,116,55,61,
,68 bis unter 69,2034,975,1059,1934,930,1004,100,45,55,
,69 bis unter 70,2071,1017,1054,1976,985,991,95,32,63,
,70 bis unter 71,2026,983,1043,1928,942,986,98,41,57,
,71 bis unter 72,1952,962,990,1857,930,927,95,32,63,
,72 bis unter 73,1958,949,1009,1837,891,946,121,58,63,
,73 bis unter 74,1669,789,880,1570,737,833,99,52,47,
,74 bis unter 75,1614,756,858,1533,715,818,81,41,40,
